profileUrl,screenName,userId,name,imgUrl,backgroundImg,bio,website,location,createdAt,followersCount,friendsCount,tweetsCount,certified,query,timestamp
https://twitter.com/doug_hanks,doug_hanks,23852881,Doug Hanks,https://pbs.twimg.com/profile_images/1016276453724512257/djt7Z0Mk_normal.jpg,https://pbs.twimg.com/profile_banners/23852881/1411047586,Doug Hanks covers Miami-Dade County for The Miami Herald. Email is dhanks@miamiherald.com,https://t.co/e3L2TJSbYR,Miami,Wed Mar 11 23:31:41 +0000 2009,13046,2188,34883,Certified,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
https://twitter.com/royngerng,royngerng,20357508,Roy Ngerng,https://pbs.twimg.com/profile_images/1127446583610564615/Q-Rr0JPP_normal.jpg,https://pbs.twimg.com/profile_banners/20357508/1559660562,"Activist-Researcher
#UnitedNations and #Amnesty Human Rights Defender.
From Singapore, Taiwan is My Home Now.
#SpeakUpforTaiwan 
https://t.co/f1lxajewHm",https://t.co/nSKYvRMCdj,"Taipei City, Taiwan",Sun Feb 08 09:31:11 +0000 2009,3115,2045,22858,,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
https://twitter.com/SDRigby,SDRigby,204808907,Sam Rigby,https://pbs.twimg.com/profile_images/1161361697652781056/pYDwzGbx_normal.jpg,https://pbs.twimg.com/profile_banners/204808907/1565725181,northerner in London • oxford comma and em dash enthusiast • audience editor @qz • formerly @BBC @DigitalSpy @attitudemag,,London ,Tue Oct 19 14:26:04 +0000 2010,1309,990,16218,,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
https://twitter.com/aladinoster,aladinoster,333471022,Andres Ladino,https://pbs.twimg.com/profile_images/1099868924626096133/_OHnWm0A_normal.jpg,https://pbs.twimg.com/profile_banners/333471022/1500218917,"I like Intelligent Transportation Systems. Postdoc. Fan and advocate  of #rstats and #DataScience 🇨🇴 , 🇫🇷",https://t.co/R3P7qOioWS,,Mon Jul 11 15:56:20 +0000 2011,242,1755,890,,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
https://twitter.com/qz,qz,573918122,Quartz,https://pbs.twimg.com/profile_images/1238278574152572929/HgSD467J_normal.jpg,https://pbs.twimg.com/profile_banners/573918122/1579285144,Quartz: Global news and insights for a new generation of business leaders.,https://t.co/gLfIrRbtbb,The World,Mon May 07 19:53:20 +0000 2012,387842,214,176068,Certified,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
https://twitter.com/llcroteau,llcroteau,1855774782,Laurianne Croteau,https://pbs.twimg.com/profile_images/1217976248237993985/XQaxRHvw_normal.jpg,https://pbs.twimg.com/profile_banners/1855774782/1532669578,Journaliste de données @RadioCanadaInfo | DM pour Signal ou laurianne.croteau@radio-canada.ca,https://t.co/tPH9AKPbMf,"Moncton, New Brunswick",Thu Sep 12 00:21:47 +0000 2013,256,827,138,Certified,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
https://twitter.com/KiraBind,KiraBind,18997220,Kira Bindrim,https://pbs.twimg.com/profile_images/566676023899860992/LlKBQyhe_normal.jpeg,https://pbs.twimg.com/profile_banners/18997220/1407529701,@qz executive editor | @newsweek @reuters @crainsnewyork alum | inanity at https://t.co/G0lRFf8bs5,https://t.co/gLfIrRbtbb,new york,Wed Jan 14 21:40:22 +0000 2009,4382,2190,20497,Certified,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
https://twitter.com/staphwriter,staphwriter,43891668,Max Lockie,https://pbs.twimg.com/profile_images/900726007430344704/bmZ0X9Hg_normal.jpg,https://pbs.twimg.com/profile_banners/43891668/1415891303,"Editor @qz - download us here: https://t.co/I0gs4S8S51
Personal Funletter: https://t.co/MdyS8LQ38a. 
ATL/NYC. NUFC supporter. Runner.",https://t.co/GisJTyJOym,"New York, NY",Mon Jun 01 14:21:05 +0000 2009,1814,4071,186,Certified,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
https://twitter.com/ume_log,ume_log,265805262,Yusuke Umeda,https://pbs.twimg.com/profile_images/417283346129887232/UDEngltc_normal.jpeg,https://pbs.twimg.com/profile_banners/265805262/1388323077,Founder at Uzabase and NewsPicks. Chairman at Quartz.,,,Mon Mar 14 05:02:22 +0000 2011,1240,345,25178,,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
https://twitter.com/zseward,zseward,19430233,Zach Seward,https://pbs.twimg.com/profile_images/1181312025202282502/kfo58sTA_normal.png,https://pbs.twimg.com/profile_banners/19430233/1441661794,CEO of Quartz,https://t.co/G318vI5FeM,"New York, NY",Sat Jan 24 03:32:09 +0000 2009,27258,2180,28312,Certified,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
https://twitter.com/alisongriswold,alisongriswold,599515941,Alison Griswold,https://pbs.twimg.com/profile_images/934238622546399232/PeTje8wn_normal.jpg,https://pbs.twimg.com/profile_banners/599515941/1511575707,Reporting on the proverbial sharing economy and other startup-y things @qz. Sign up for my newsletter:,https://t.co/72SKJyKAb1,,Mon Jun 04 17:56:19 +0000 2012,8173,1006,602,Certified,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
https://twitter.com/AASHTOsean,AASHTOsean,986225020245594112,Sean Kilcarr,https://pbs.twimg.com/profile_images/987004528338890752/C1p2_ZMK_normal.jpg,https://pbs.twimg.com/profile_banners/986225020245594112/1524077367,I'm the senior editor at the American Association of State Highway and Transportation Officials (AASHTO for short).,https://t.co/Mmu4yXZklv,"Washington, DC",Tue Apr 17 12:49:02 +0000 2018,698,741,7775,,https://twitter.com/moovit,2020-04-02T06:02:47.544Z
